0,1,1,success,5.48,1.69,1.18,6.31,14.67,3087;32787;9498;136334;135248;136300-150#3087;32787;9498;136334;135248;136300-150#3087;32787;9498;136334;135248;136300-150,0,0.0,1.183,87,3
1,1,1,success,5.33,1.28,1.25,7.9,15.76,212851;42020;3356;31027;209770-215#212851;42020;3356;31027;209770-215#212851;42020;3356;31027;209770-215,0,0.0,1.254,49,3
2,1,1,success,5.46,1.34,6.25,7.39,20.45,32800;14155;3356;31313;48338-125#32800;14155;3356;31313;48338-125#32800;14155;3356;31313;48338-125,2,0.0,1.813,164,6
3,1,1,success,5.49,1.29,4.3,7.08,18.16,16047;9049;9002;34784-55#16047;9049;9002;34784-55#16047;9049;9002;34784-55,2,0.0,1.757,162,5
4,1,1,success,5.22,1.67,23.72,7.22,37.84,200616;3269;32787;5650;26127-117#200616;3269;32787;5650;26127-117#200616;3269;32787;5650;26127-117,4,0.0,1.448,104,4
5,1,1,success,5.64,1.67,7.02,6.4,20.72,141154;139009;49544;196844;12324-127#141154;139009;49544;196844;12324-127#141154;139009;49544;196844;12324-127,4,0.0,1.358,18,4
6,1,1,success,5.73,1.63,94.05,6.57,107.97,50865;25003;3356;20115;54223-141#50865;25003;3356;20115;54223-141#50865;25003;3356;20115;54223-141,6,0.0,1.419,73,4
7,1,1,success,5.66,1.29,10.2,7.24,24.39,51947;31117;51185;11014;267913-153#51947;31117;51185;11014;267913-153#51947;31117;51185;11014;267913-153,6,0.0,1.438,285,5
8,1,1,success,5.36,1.29,386.27,7.42,400.33,49095;8251;49544;174;205609-93#49095;8251;49544;174;205609-93#49095;8251;49544;174;205609-93,8,0.0,1.8,269,4
9,2,2,success,5.79,1.26,13.05,6.51,26.62,397296;19752;21433;3269;213004-104|397296;29909;49544;51569;213004-106#397296;19752;21433;3269;213004-104#397296;19752;21433;3269;213004-104,8,0.0,1.393,270,5
10,1,1,success,5.39,1.29,1530.57,6.85,1544.11,320;306;337;27066;721;209;174;396447-158#320;306;337;27066;721;209;174;396447-158#320;306;337;27066;721;209;174;396447-158,10,0.0,1.402,120,4
11,2,1,success,5.76,1.27,17.03,7.48,31.55,7674;7500;49544;58945;63957-203|7674;18259;2914;58715;138024;63957-236#7674;7500;49544;58945;63957-203#7674;7500;49544;58945;63957-203,10,0.0,1.368,205,3
